Customer Number;Sales and Distribution Document Number;Consignment;Sales order date;delivery date;Status;Gross Weight of the Item;Net Value of the Sales Order in Document Currency;Transport number;netvolume confirmed;netvolume unconfirmed;Status of confirmation;Date of Confirmation;Trackingnumber;Trackingnumber;Trackingnumber;Container
90753125361;0004739001;GUIMARIN KITCHEN REPLACEMENT;20.12.2016;23.01.2017;Post dispatch on 20.01.2017;20;640,30;201703588004;0,000;0,000;Confirmed;20161221;;;;UPS
90753125361;0004738095;HARTMANN SHELVES;08.12.2016;24.01.2017;From factory 23.01.2017;14;437,98;201704150000;0,069;0,000;Confirmed;20161207;;;;
90753125361;0001899885;HANDYAL-2465 COTTLE AVE M.BATH;29.11.2016;15.12.2016;From factory 14.12.2016;108;930,69;201650322032;0,660;0,000;Confirmed;20161111;;;;SF50
90753125361;0001899887;HANDYAL-2465 COTTLE AVE BATH 2;29.11.2016;15.12.2016;From factory 14.12.2016;91;896,67;201650322030;0,348;0,000;Confirmed;20161111;;;;SF50
90753125361;0001900668;428 COLLINGWOOD-WATER CLOSET;05.12.2016;21.12.2016;From factory 20.12.2016;69;474,66;201651223033;0,354;0,000;Confirmed;20161122;;;;SF51
90753125361;0001900671;428 COLLINGWOOD-BATH 2;05.12.2016;21.12.2016;From factory 20.12.2016;55;431,73;201651223035;0,345;0,000;Confirmed;20161122;;;;SF51
90753125361;0001903330;428 COLLINGWOOD LAUNDRY RM;05.12.2016;21.12.2016;From factory 20.12.2016;247;1.360,73;201651223037;1,560;0,000;Confirmed;20161128;;;;SF51
90753125361;0001900669;428 COLLINGWOOD-BATH 4;05.12.2016;21.12.2016;From factory 20.12.2016;55;445,50;201651223034;0,345;0,000;Confirmed;20161122;;;;SF51
90753125361;0001899895;SCHLARB-2860 GREENWICH-4TH FL.;29.11.2016;15.12.2016;From factory 14.12.2016;209;2.007,38;201650322034;1,335;0,000;Confirmed;20161108;;;;SF50
90753125361;0001900673;428 COLLINGWOOD-MASTER BATH;05.12.2016;21.12.2016;From factory 20.12.2016;297;2.081,45;201651223031;1,803;0,000;Confirmed;20161122;;;;SF51
90753125361;0001902834;KOTH WORDRUFF KITCHEN;15.12.2016;19.01.2017;From factory 18.01.2017;1.054;13.271,43;201703321031;6,748;0,000;Confirmed;20161202;;;;SF03
90753125361;0001900656;428 COLLINGWOOD-DATA RM.;05.12.2016;21.12.2016;From factory 20.12.2016;534;3.447,11;201651223030;4,723;0,000;Confirmed;20161122;;;;SF51
90753125361;0001900662;428 COLLINGWOOD-KITCHEN;05.12.2016;21.12.2016;From factory 20.12.2016;1.455;13.647,57;201651223036;9,587;0,000;Confirmed;20161128;;;;SF51
90753125361;0001899893;SCHLARB-2860 GREENWICH-2ND FL.;29.11.2016;15.12.2016;From factory 14.12.2016;1.044;10.132,53;201650322040;7,000;0,000;Confirmed;20161123;;;;SF50
90753125361;0001899894;SCHLARB-2860 GREENWICH-LAUNDRY;29.11.2016;15.12.2016;From factory 14.12.2016;321;1.303,97;201650322031;1,967;0,000;Confirmed;20161104;;;;SF50
90753125361;0001899719;Handyal-2465 Cottle Kitchen;30.11.2016;15.12.2016;From factory 14.12.2016;1.660;13.251,15;201650322041;11,210;0,000;Confirmed;20161130;;;;SF50
90753125361;0001903512;KOTH WOODRUFF BATH 2;15.12.2016;19.01.2017;From factory 18.01.2017;84;1.057,86;201703321030;0,303;0,000;Confirmed;20161123;;;;SF03
90753125361;0001903511;KOTH WOODRUFF MASTER B.;15.12.2016;19.01.2017;From factory 18.01.2017;122;1.249,83;201703321033;0,662;0,000;Confirmed;20161123;;;;SF03
90753125361;0001900675;DIXIT-992 GOVERNORS BAY;29.11.2016;15.12.2016;From factory 14.12.2016;1.247;7.891,05;201650322037;8,950;0,000;Confirmed;20161117;;;;SF50
90753125361;0004732794;DOFAO-823 SHEPARD-2;29.11.2016;15.12.2016;From factory 14.12.2016;127;1.223,91;201650322039;0,635;0,000;Confirmed;20161108;;;;SF50
90753125361;0004735784;GOLDBERGER KITCHEN;01.12.2016;07.12.2016;Post dispatch on 06.12.2016;0;24,30;201649288123;0,001;0,000;Confirmed;20161129;;;;UPS
90753125361;0001900654;BADROS- GUEST - LIVING RM.;29.11.2016;15.12.2016;From factory 14.12.2016;748;3.600,20;201650322035;5,753;0,000;Confirmed;20161117;;;;SF50
90753125361;0001903516;HARTMANN-104 COLLINS ST.;15.12.2016;19.01.2017;From factory 18.01.2017;824;9.291,34;201703321032;5,206;0,000;Confirmed;20161121;;;;SF03
90753125361;0001899890;SCHLARB-2860 GREENWICH-BASEM.M;29.11.2016;15.12.2016;From factory 14.12.2016;433;2.076,95;201650322033;3,140;0,000;Confirmed;20161115;;;;SF50
90753125361;0001900655;BADROS- GUEST - BATH;29.11.2016;15.12.2016;From factory 14.12.2016;105;543,51;201650322036;0,629;0,000;Confirmed;20161115;;;;SF50
90753125361;0001900664;428 COLLINGWOOD-BATH 3;05.12.2016;21.12.2016;From factory 20.12.2016;118;1.075,68;201651223032;0,587;0,000;Confirmed;20161117;;;;SF51
90753125361;0001900653;BADROS- GUEST KITCHEN;29.11.2016;15.12.2016;From factory 14.12.2016;815;7.605,71;201650322038;5,734;0,000;Confirmed;20161117;;;;SF50
90753125361;0004735326;DOR_14945 MCDONOUGH REPL.;05.12.2016;21.12.2016;From factory 20.12.2016;123;0,00;201651223038;0,482;0,000;Confirmed;20161128;;;;SF51
90753126831;0004737643;LUBY KITCHEN;07.12.2016;15.12.2016;From factory 14.12.2016;10;333,39;201650385001;0,041;0,000;Confirmed;20161206;DHL TRACKING NUMBER;950050903786;;DHL
90753126831;0004737774;STURMAN KITCHEN;12.12.2016;30.01.2017;From factory 25.01.2017;16;41,71;201704350000;0,065;0,000;Confirmed;20161206;;;;
90753126831;0004739124;ROBIN SMITH ANTI SLIP MATS;20.12.2016;11.01.2017;From factory 10.01.2017;5;225,80;201702285001;0,009;0,000;Confirmed;20161220;;;;DHL
90753126831;0004737798;STURMAN KITCHEN NEW BOXES;07.12.2016;19.12.2016;From factory 15.12.2016;84;0,00;201650495111;0,612;0,000;Confirmed;20161206;;;;
90753126831;0001907752;ROBIN CHOTIN MASTER BATH;21.12.2016;13.02.2017;Confirmed Week 07.2017;374;5.076,89;;2,726;0,000;Confirmed;20161221;;;;CO07
90753126831;0004737055;STURMAN MASTER BATH REPL.;12.12.2016;30.01.2017;From factory 25.01.2017;40;0,00;201704350000;0,107;0,000;Confirmed;20161206;;;;
90753126831;0004737780;STURMAN GUEST BATH;07.12.2016;30.01.2017;Confirmed Week 05.2017;7;85,05;;0,030;0,000;Confirmed;20161206;;;;
90753126831;0001908192;BUECHNER WP POWDER;20.12.2016;13.02.2017;Confirmed Week 07.2017;110;1.229,88;;0,240;0,000;Confirmed;20161220;;;;CO07
90753126831;0004733562;SHAFER HER MASTER BATH REPL;22.11.2016;30.01.2017;Confirmed Week 05.2017;12;119,88;;0,010;0,000;Confirmed;20161121;;;;
90753126831;0004731249;SHAFER KITCHEN REPL;19.12.2016;30.01.2017;From factory 25.01.2017;15;327,84;201704350000;0,063;0,000;Confirmed;20161025;;;;
90753126831;0004735309;ANDREWS KITCHEN REPL.;06.12.2016;30.01.2017;Confirmed Week 05.2017;21;0,00;;0,084;0,000;Confirmed;20161122;;;;
9075307374;0008041153;CABRERA;20.12.2016;15.05.2017;Not processed;0;0,00;;0,000;0,120;;;;;;
9075307374;0008041152;DURREGO;20.12.2016;24.07.2017;Not processed;0;0,00;;0,000;0,155;;;;;;
9075310188;0003110328;arw6080;06.06.2016;00.00.0000;Cost advice;0;251,10;;0,000;0,000;;;;;;
9075310188;0003111788;Loftis Kitchen blender quote;25.11.2016;00.00.0000;Cost advice;0;322,38;;0,000;0,000;;;;;;
9075310188;0003111789;spice rack;24.11.2016;00.00.0000;Cost advice;0;141,75;;0,000;0,000;;;;;;
9075310188;0001909544;Rocky Ledge Kitchen;00.00.0000;00.00.0000;Not processed;0;0,00;;0,000;0,000;;;;;;
9075310188;0004740565;Houston SR Kit.3 replacement;23.12.2016;00.00.0000;Not processed;104;0,00;;0,000;0,149;;;;;;TX05
9075310188;0004740554;SMITHERS KITCHEN ANTISLIPMATS;23.12.2016;00.00.0000;Not processed;2;184,25;;0,000;0,005;;;;;;
9075310188;0001903579;ZFUE6070;17.11.2016;24.07.2017;Not processed;3;45,50;;0,000;0,000;;;;;;AFT50
9075310188;0008040509;H-ADS MATERIAL/SG;30.11.2016;12.12.2016;From factory 08.12.2016;0;0,00;201649495066;0,000;0,005;;;;;;
9075310711;0003112009;Pur-FS quotation;22.12.2016;00.00.0000;Cost advice;0;175,77;;0,000;0,000;;;;;;
9075310711;0001908174;SR1 Master B. & Linen;00.00.0000;00.00.0000;Not processed;0;0,00;;0,000;0,000;;;;;;
9075310711;0001909545;Felici;00.00.0000;00.00.0000;Not processed;0;0,00;;0,000;0,000;;;;;;
9075310711;0001908671;SR1 PH Kitchen & Bar;00.00.0000;00.00.0000;Not processed;0;0,00;;0,000;0,000;;;;;;
9075310711;0003112014;inquiry WAW;23.12.2016;00.00.0000;Cost advice;0;52,65;;0,000;0,000;;;;;;
9075310711;0008041156;HANSEN KITCHEN;20.12.2016;24.07.2017;Not processed;0;0,00;;0,000;0,090;;;;;;
9075312890;0001908662;659-Phyllis Cole/LD;00.00.0000;00.00.0000;Not processed;0;0,00;;0,000;0,000;;;;;;
9075312890;0008041159;SHOWROOM SAMPLES;21.12.2016;24.07.2017;Not processed;0;0,00;;0,000;0,005;;;;;;
9075312890;0004740559;756-PRAPAVADEESOPHONPANICH REP;23.12.2016;00.00.0000;Not processed;59;385,12;;0,000;0,478;;;;;;
9075312890;0008041183;777-HAYLEY SKUROWSKI/LD;21.12.2016;24.07.2017;Not processed;0;0,00;;0,000;0,050;;;;;;
9075312890;0001908665;782-Hiten Rawal-Mudroom;23.12.2016;00.00.0000;Not processed;324;2.129,87;;0,000;1,768;;;;;;
9075312890;0008040984;748-IAN SLOME/LD;09.12.2016;24.07.2017;Not processed;0;0,00;;0,000;1,400;;;;;;
9075313356;0003111892;928 EB-2 Kitchen fridge doors;08.12.2016;00.00.0000;Cost advice;0;774,36;;0,000;0,000;;;;;;
9075313356;0001909540;Berke Kitchen;00.00.0000;00.00.0000;Not processed;0;0,00;;0,000;0,000;;;;;;
9075313356;0008040846;928 EB-2 KITCHEN;01.12.2016;24.07.2017;Not processed;0;0,00;;0,000;0,005;;;;;;
9075313413;0001909481;P-3010-John;00.00.0000;00.00.0000;Not processed;0;0,00;;0,000;0,000;;;;;;
9075313413;0008041024;P-2507-K-C;19.12.2016;23.01.2017;From factory 19.01.2017;0;0,00;201703420038;0,000;0,020;;;;;;
9075313413;0008041025;P-3405-K-F;20.12.2016;23.01.2017;From factory 19.01.2017;0;0,00;201703420040;0,000;0,020;;;;;;
9075313738;0004740615;Mc_Lang_Kitchen add on;23.12.2016;00.00.0000;ORDER BLOCK;26;393,96;;0,000;0,122;;;;;;
9075313738;0008041157;MC_SANBORN_KITCHEN;20.12.2016;24.07.2017;Not processed;1;0,00;;0,000;0,465;;;;;;
9075314011;0003111687;V&B sink;22.11.2016;00.00.0000;Cost advice;0;776,10;;0,000;0,000;;;;;;
9075314589;0001908663;771-Beach Capital Inv-Rodr./NG;21.12.2016;00.00.0000;ORDER BLOCK;1.053;12.502,59;;0,000;7,378;;;;;;FL07
9075314751;0002155560;Y-KID;16.12.2016;00.00.0000;Delivered 19.12.2016;10;0,00;;0,000;0,001;;;;;;
9075315495;0008040848;VICTOR BROWNJOHN VANITY;05.12.2016;07.12.2016;From factory 06.12.2016;0;0,00;201649295098;0,000;0,210;;;;;;
9075315495;0008040844;VICTOR BROWNJOHN;05.12.2016;07.12.2016;From factory 06.12.2016;0;0,00;201649295099;0,000;0,495;;;;;;AFB49
9075315523;0008040952;UT MAIN DISPLAY;13.12.2016;20.12.2016;From factory 19.12.2016;0;0,00;201651123031;0,000;0,500;;;;;;LA51
9075315523;0008040951;UT MAIN DISPLAY;15.12.2016;15.05.2017;Not processed;0;0,00;;0,000;0,005;;;;;;
9075315523;0008040953;UT MAIN DISPLAY;19.12.2016;15.05.2017;Not processed;0;0,00;;0,000;0,010;;;;;;
9075315523;0008040968;UT-MEDIA & BAR REPL;08.12.2016;24.07.2017;Not processed;0;0,00;;0,000;0,020;;;;;;
9075315987;0008041174;GKC-SEATTLE K1 VALAIS;21.12.2016;24.07.2017;Not processed;0;0,00;;0,000;0,550;;;;;;
90753119431;0003111061;640-Milan Prilepok/MH;16.09.2016;00.00.0000;Cost advice;0;169,61;;0,000;0,000;;;;;;
90753119431;0003110383;max FRMAT;08.06.2016;00.00.0000;Cost advice;0;511,11;;0,000;0,000;;;;;;
90753119431;0001908660;11-0222-Colley Lee/KG;00.00.0000;00.00.0000;Not processed;0;0,00;;0,000;0,000;;;;;;
90753119431;0001909730;768-David Blau/MH;00.00.0000;00.00.0000;Not processed;0;0,00;;0,000;0,000;;;;;;
90753119431;0008041173;751-ROBIN SCHACK/IT;21.12.2016;24.07.2017;Not processed;0;0,00;;0,000;0,040;;;;;;
90753119431;0008041172;751-ROBIN SCHACK/IT;21.12.2016;24.07.2017;Not processed;0;0,00;;0,000;0,010;;;;;;
90753119431;0008040866;610-SHATTAN-DUNDES/SM;08.12.2016;21.12.2016;From factory 20.12.2016;0;0,00;201651226010;0,000;0,010;;;;;;NJ51
90753119431;0008040849;750-RENA MIKAIL/YZ;08.12.2016;21.12.2016;From factory 20.12.2016;0;0,00;201651226009;0,000;0,020;;;;;;NJ51
90753119431;0008040854;725-YAEL COHEN/IT LG;21.12.2016;10.01.2017;From factory 09.01.2017;0;0,00;201702195077;0,000;0,200;;;;;;
90753119431;0008040867;11-0190_ZELENKO ERIC/YZ;07.12.2016;12.12.2016;From factory 08.12.2016;0;0,00;201649420089;0,000;0,025;;;;;;NJ49
90753119431;0008040851;11-0176_CLEEMAN TRINA/PZ;21.12.2016;10.01.2017;From factory 09.01.2017;0;0,00;201702195076;0,000;0,220;;;;;;
90753125361;0003111310;PUROHIT KANTO PART quote;06.10.2016;00.00.0000;Cost advice;0;1.268,46;;0,000;0,000;;;;;;
90753125361;0003111827;HAND Master bath repl. quote;30.11.2016;00.00.0000;Cost advice;0;109,35;;0,000;0,000;;;;;;
90753125361;0003111844;HAND Powder drawer box;01.12.2016;00.00.0000;Cost advice;0;109,35;;0,000;0,000;;;;;;
90753125361;0003111816;U-Shape table legs;29.11.2016;00.00.0000;Cost advice;0;516,75;;0,000;0,000;;;;;;
90753125361;0001907749;Grosse-1200 Gough St;00.00.0000;00.00.0000;Not processed;0;0,00;;0,000;0,000;;;;;;
90753125361;0001908073;Pisani-734 Wisconsin St.;00.00.0000;00.00.0000;Not processed;0;0,00;;0,000;0,000;;;;;;
90753125361;0001908074;Pisani-734 Wisconsin St. Bath;00.00.0000;00.00.0000;Not processed;0;0,00;;0,000;0,000;;;;;;
90753125361;0001908075;Pisani-734 Wisconsin Master;00.00.0000;00.00.0000;Not processed;0;0,00;;0,000;0,000;;;;;;
90753125361;0008041178;428 COLLINGWOOD-MASTER BATH;21.12.2016;24.07.2017;Not processed;0;0,00;;0,000;0,060;;;;;;
90753125361;0008041177;428 COLLINGWOOD-BATH 3;21.12.2016;24.07.2017;Not processed;0;0,00;;0,000;0,005;;;;;;
90753125361;0008041176;428 COLLINGWOOD-KITCHEN;21.12.2016;24.07.2017;Not processed;0;0,00;;0,000;0,200;;;;;;
90753125361;0004740613;Goldberger Kitchen shelf pins;23.12.2016;00.00.0000;Not processed;0;0,00;;0,000;0,000;;;;;;
90753125361;0008041064;HANDYAL-2465 COTTLE AVE BATH 2;19.12.2016;21.12.2016;Post dispatch on 20.12.2016;0;0,00;201651288080;0,000;0,010;;;;;;
90753125361;0008041076;HANDYAL-2465 COTTLE KITCHEN;21.12.2016;10.01.2017;From factory 09.01.2017;0;0,00;201702195088;0,000;0,450;;;;;;
90753125361;0008041078;SCHLARB-2860 GREENWICH-2ND FL.;21.12.2016;10.01.2017;Post dispatch on 09.01.2017;0;0,00;201702188060;0,000;0,005;;;;;;
90753126831;0003110758;100 cm tall unit;03.08.2016;00.00.0000;Cost advice;0;886,14;;0,000;0,000;;;;;;
90753126831;0001908166;Buechner WP Guest Area;00.00.0000;00.00.0000;Not processed;0;0,00;;0,000;0,000;;;;;;
90753126831;0001908168;Buechner WP Loft;00.00.0000;00.00.0000;Not processed;0;0,00;;0,000;0,000;;;;;;
90753126831;0001908171;Buechner WP Living Area;00.00.0000;00.00.0000;Not processed;0;0,00;;0,000;0,000;;;;;;
90753126831;0001909731;Brockman Concrete Order;00.00.0000;00.00.0000;Not processed;0;0,00;;0,000;0,000;;;;;;
90753126831;0001909734;STOLER KITCHEN;00.00.0000;00.00.0000;Not processed;0;0,00;;0,000;0,000;;;;;;
